   Teff,Logg,      G,      B,      V,      u,      g,      r,      i,      z,      J,      H,      K, W1_W10, W2_W10, W3_W10, W4_W10
2500,3.5,-32.645,-28.875,-29.529,-27.51,-29.275,-29.78,-33.107,-34.701,-36.979,-37.507,-37.894,-38.147,-38.454,-38.78,-38.915
2500,4,-32.638,-28.597,-29.458,-26.842,-29.13,-29.717,-33.081,-34.711,-36.977,-37.527,-37.9,-38.134,-38.407,-38.742,-38.851
2500,4.5,-32.636,-28.237,-29.408,-25.962,-28.888,-29.841,-33.056,-34.72,-36.981,-37.55,-37.901,-38.129,-38.361,-38.713,-38.81
2500,5,-32.635,-27.562,-29.089,-25.14,-28.208,-29.949,-32.99,-34.755,-36.997,-37.588,-37.9,-38.115,-38.292,-38.667,-38.746
2500,5.5,-32.649,-27.697,-29.24,-24.706,-28.443,-30.129,-32.939,-34.785,-36.998,-37.619,-37.884,-38.107,-38.197,-38.61,-38.636
2600,2.5,-32.778,-29.662,-29.578,-28.762,-29.754,-29.684,-33.223,-34.847,-37.196,-37.715,-38.006,-38.17,-38.507,-38.795,-38.968
2600,3,-32.938,-29.7,-29.972,-28.593,-29.928,-30.111,-33.444,-34.953,-37.16,-37.661,-38.008,-38.225,-38.545,-38.831,-38.985
2600,3.5,-33.012,-29.589,-30.182,-28.207,-29.949,-30.37,-33.547,-34.996,-37.132,-37.657,-38.02,-38.255,-38.556,-38.843,-38.98
2600,4,-33.021,-29.353,-30.183,-27.652,-29.834,-30.404,-33.556,-35.007,-37.124,-37.669,-38.026,-38.258,-38.535,-38.828,-38.945
2600,4.5,-33.065,-28.773,-29.862,-26.805,-29.297,-30.404,-33.589,-35.082,-37.159,-37.693,-38.031,-38.25,-38.489,-38.794,-38.896
2600,5,-32.992,-28.398,-29.734,-26.038,-28.999,-30.399,-33.467,-35.035,-37.134,-37.721,-38.031,-38.238,-38.431,-38.755,-38.839
2600,5.5,-32.967,-27.998,-29.577,-25.41,-28.652,-30.46,-33.367,-35.049,-37.139,-37.752,-38.023,-38.231,-38.369,-38.715,-38.782
2700,2.5,-33.046,-30.091,-30.063,-29.109,-30.19,-30.204,-33.543,-35.063,-37.33,-37.913,-38.151,-38.259,-38.587,-38.843,-39.013
2700,3,-33.276,-30.288,-30.564,-29.095,-30.51,-30.668,-33.838,-35.225,-37.318,-37.841,-38.148,-38.327,-38.638,-38.886,-39.039
2700,3.5,-33.354,-30.206,-30.809,-28.79,-30.545,-31.006,-33.945,-35.261,-37.278,-37.803,-38.14,-38.359,-38.652,-38.906,-39.043
2700,4,-33.37,-30.031,-30.837,-28.349,-30.474,-31.045,-33.966,-35.276,-37.264,-37.806,-38.144,-38.365,-38.637,-32.969,-35.769
2700,4.5,-33.492,-30.048,-31.038,-28.029,-30.577,-31.266,-34.103,-35.376,-37.303,-37.867,-38.191,-38.402,-38.645,-38.899,-39.005
2700,5,-33.354,-29.483,-30.679,-26.996,-30.114,-31.016,-33.924,-35.295,-37.262,-37.846,-38.151,-38.355,-38.559,-38.842,-38.934
2700,5.5,-33.431,-28.817,-30.286,-26.277,-29.435,-31.06,-33.957,-35.431,-37.329,-37.883,-38.154,-38.353,-38.511,-38.811,-38.888
2800,2.5,-33.313,-30.479,-30.574,-29.375,-30.609,-30.759,-33.862,-35.268,-37.446,-38.1,-38.303,-38.358,-38.668,-38.894,-39.057
2800,3,-33.531,-30.7,-31.014,-29.451,-30.921,-31.165,-34.128,-35.424,-37.445,-38.004,-38.271,-38.409,-38.709,-38.93,-39.081
2800,3.5,-33.664,-30.757,-31.363,-29.296,-31.082,-31.557,-34.293,-35.501,-37.416,-37.953,-38.26,-38.453,-38.737,-38.96,-39.097
2800,4,-33.705,-30.662,-31.464,-28.973,-31.077,-31.671,-34.344,-35.527,-37.399,-37.944,-38.261,-38.467,-38.732,-38.961,-39.082
2800,4.5,-33.751,-30.277,-31.324,-28.385,-30.73,-31.778,-34.405,-35.575,-37.406,-37.951,-38.264,-38.474,-38.715,-38.952,-39.061
2800,5,-33.748,-30.334,-31.509,-27.976,-30.917,-31.811,-34.387,-35.569,-37.389,-37.974,-38.278,-38.484,-38.692,-38.935,-39.031
2800,5.5,-33.669,-29.62,-30.998,-27.117,-30.203,-31.62,-34.27,-35.566,-37.399,-38.002,-38.274,-38.464,-38.63,-38.893,-38.978
2900,2.5,-33.545,-30.81,-31.017,-29.589,-30.97,-31.241,-34.132,-35.442,-37.544,-38.279,-38.453,-38.455,-38.743,-32.969,-35.769
2900,3,-33.723,-31.027,-31.312,-29.73,-31.241,-31.454,-34.338,-35.583,-37.562,-38.174,-38.397,-38.474,-38.762,-38.958,-39.106
2900,3.5,-33.878,-31.133,-31.69,-29.656,-31.441,-31.865,-34.523,-35.676,-37.538,-38.092,-38.365,-38.515,-38.791,-38.991,-39.126
2900,4,-33.975,-31.142,-31.937,-29.439,-31.54,-32.147,-34.636,-35.731,-37.523,-38.074,-38.366,-38.547,-38.805,-39.009,-39.131
2900,4.5,-34.016,-31.044,-32.032,-29.071,-31.525,-32.277,-34.682,-35.756,-37.509,-38.069,-38.369,-38.561,-38.797,-39.007,-39.117
2900,5,-34.004,-30.619,-31.793,-28.452,-31.117,-32.256,-34.67,-35.776,-37.513,-38.092,-38.379,-38.563,-38.769,-38.988,-39.085
2900,5.5,-33.983,-30.293,-31.627,-27.834,-30.849,-32.2,-34.633,-35.791,-37.52,-38.116,-38.383,-38.56,-38.728,-38.962,-39.048
3000,2.5,-33.811,-31.167,-31.545,-29.798,-31.376,-31.807,-34.436,-35.631,-37.635,-38.435,-38.606,-38.579,-38.835,-39.005,-39.152
3000,3,-33.973,-31.406,-31.788,-29.987,-31.644,-31.955,-34.617,-35.765,-37.665,-38.349,-38.546,-38.577,-38.842,-39.012,-39.154
3000,3.5,-34.138,-31.58,-32.13,-30.037,-31.884,-32.278,-34.802,-35.876,-37.662,-38.256,-38.5,-38.604,-38.864,-39.036,-39.167
3000,4,-34.245,-31.634,-32.394,-29.912,-32.012,-32.573,-34.921,-35.935,-37.647,-38.215,-38.483,-38.631,-38.878,-39.055,-39.174
3000,4.5,-34.292,-31.573,-32.526,-29.629,-32.024,-32.745,-34.972,-35.955,-37.623,-38.188,-38.472,-38.646,-38.874,-39.058,-39.165
3000,5,-34.295,-31.216,-32.337,-29.1,-31.685,-32.758,-34.982,-35.986,-37.637,-38.215,-38.487,-38.652,-38.853,-39.043,-39.139
3000,5.5,-34.265,-30.887,-32.154,-28.468,-31.417,-32.676,-34.945,-35.995,-37.64,-38.232,-38.489,-38.646,-38.81,-39.014,-39.1
3100,2.5,-34.092,-31.58,-32.108,-29.93,-31.833,-32.377,-34.746,-35.821,-37.718,-38.568,-38.745,-38.714,-38.928,-39.08,-39.213
