!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
!  WISE filter system
!
!        Teff    Logg   [M/H]   [a/H]        W1_W10      W2_W10      W3_W10      W4_W10
      3600.00    4.50    0.00    0.00       -39.167     -39.267     -39.387     -39.460
      3600.00    5.00    0.00    0.00       -39.148     -39.262     -39.380     -39.454
      3600.00    5.50    0.00    0.00       -39.140     -39.256     -39.381     -39.454
      3700.00    2.50    0.00    0.00       -39.343     -39.294     -39.448     -39.489
      3700.00    3.00    0.00    0.00       -39.276     -39.274     -39.408     -39.466
      3700.00    3.50    0.00    0.00       -39.297     -39.305     -39.435     -39.493
      3700.00    4.00    0.00    0.00       -39.267     -39.309     -39.426     -39.487
      3700.00    4.50    0.00    0.00       -39.247     -39.315     -39.432     -39.495
      3700.00    5.00    0.00    0.00       -39.230     -39.316     -39.432     -39.496
      3700.00    5.50    0.00    0.00       -39.220     -39.313     -39.433     -39.497
      3800.00    2.50    0.00    0.00       -39.397     -39.331     -39.484     -39.515
      3800.00    3.00    0.00    0.00       -39.388     -39.341     -39.483     -39.520
      3800.00    3.50    0.00    0.00       -39.367     -39.344     -39.474     -39.519
      3800.00    4.00    0.00    0.00       -39.338     -39.349     -39.466     -39.515
      3800.00    4.50    0.00    0.00       -39.316     -39.356     -39.472     -39.524
      3800.00    5.00    0.00    0.00       -39.299     -39.359     -39.476     -39.530
      3800.00    5.50    0.00    0.00       -39.284     -39.356     -39.474     -39.530
      3900.00    2.50    0.00    0.00       -39.439     -39.365     -39.515     -39.539
      3900.00    3.00    0.00    0.00       -39.438     -39.376     -39.518     -39.546
      3900.00    3.50    0.00    0.00       -39.426     -39.382     -39.511     -39.545
      3900.00    4.00    0.00    0.00       -39.404     -39.386     -39.506     -39.546
      3900.00    4.50    0.00    0.00       -39.381     -39.394     -39.509     -39.549
      3900.00    5.00    0.00    0.00       -39.363     -39.399     -39.514     -39.557
      3900.00    5.50    0.00    0.00       -39.348     -39.400     -39.518     -39.564
      4000.00    2.50    0.00    0.00       -39.477     -39.398     -39.544     -39.563
      4000.00    3.00    0.00    0.00       -39.479     -39.410     -39.548     -39.571
      4000.00    3.50    0.00    0.00       -39.474     -39.417     -39.545     -39.571
      4000.00    4.00    0.00    0.00       -39.460     -39.421     -39.539     -39.569
      4000.00    4.50    0.00    0.00       -39.440     -39.428     -39.540     -39.571
      4000.00    5.00    0.00    0.00       -39.427     -39.439     -39.554     -39.587
      4000.00    5.50    0.00    0.00       -39.404     -39.444     -39.568     -39.602
      4100.00    2.50    0.00    0.00       -39.511     -39.433     -39.573     -39.590
      4100.00    3.00    0.00    0.00       -39.518     -39.447     -39.581     -39.599
      4100.00    3.50    0.00    0.00       -39.518     -39.454     -39.580     -39.600
      4100.00    4.00    0.00    0.00       -39.514     -39.459     -39.578     -39.600
      4100.00    4.50    0.00    0.00       -39.501     -39.466     -39.578     -39.600
      4100.00    5.00    0.00    0.00       -39.485     -39.477     -39.592     -39.616
      4100.00    5.50    0.00    0.00       -39.471     -39.481     -39.595     -39.622
      4200.00    2.50    0.00    0.00       -39.543     -39.467     -39.601     -39.617
      4200.00    3.00    0.00    0.00       -39.551     -39.479     -39.608     -39.623
      4200.00    3.50    0.00    0.00       -39.553     -39.488     -39.611     -39.628
      4200.00    4.00    0.00    0.00       -39.554     -39.492     -39.608     -39.624
      4200.00    4.50    0.00    0.00       -39.547     -39.498     -39.608     -39.625
      4200.00    5.00    0.00    0.00       -39.535     -39.509     -39.619     -39.636
      4200.00    5.50    0.00    0.00       -39.523     -39.516     -39.627     -39.647
      4300.00    2.50    0.00    0.00       -39.574     -39.501     -39.628     -39.642
      4300.00    3.00    0.00    0.00       -39.582     -39.511     -39.634     -39.647
      4300.00    3.50    0.00    0.00       -39.585     -39.523     -39.639     -39.654
      4300.00    4.00    0.00    0.00       -39.588     -39.525     -39.636     -39.650
      4300.00    4.50    0.00    0.00       -39.587     -39.530     -39.637     -39.652
      4300.00    5.00    0.00    0.00       -39.580     -39.540     -39.645     -39.658
      4300.00    5.50    0.00    0.00       -39.568     -39.548     -39.654     -39.668
      4400.00    2.50    0.00    0.00       -39.605     -39.529     -39.652     -39.661
      4400.00    3.00    0.00    0.00       -39.612     -39.543     -39.660     -39.671
      4400.00    3.50    0.00    0.00       -39.617     -39.552     -39.661     -39.673
      4400.00    4.00    0.00    0.00       -39.620     -39.558     -39.663     -39.676
      4400.00    4.50    0.00    0.00       -39.621     -39.562     -39.664     -39.678
      4400.00    5.00    0.00    0.00       -39.618     -39.569     -39.669     -39.679
      4400.00    5.50    0.00    0.00       -39.609     -39.578     -39.679     -39.689
      4500.00    2.50    0.00    0.00       -39.634     -39.563     -39.680     -39.689
      4500.00    3.00    0.00    0.00       -39.641     -39.574     -39.685     -39.695
      4500.00    3.50    0.00    0.00       -39.644     -39.583     -39.687     -39.698
      4500.00    4.00    0.00    0.00       -39.649     -39.590     -39.689     -39.701
      4500.00    4.50    0.00    0.00       -39.651     -39.593     -39.690     -39.703
      4500.00    5.00    0.00    0.00       -39.652     -39.599     -39.693     -39.706
      4500.00    5.50    0.00    0.00       -39.649     -39.609     -39.702     -39.709
      4600.00    2.50    0.00    0.00       -39.661     -39.598     -39.704     -39.712
      4600.00    3.00    0.00    0.00       -39.668     -39.605     -39.710     -39.719
      4600.00    3.50    0.00    0.00       -39.671     -39.614     -39.712     -39.724
      4600.00    4.00    0.00    0.00       -39.677     -39.620     -39.714     -39.725
      4600.00    4.50    0.00    0.00       -39.680     -39.624     -39.715     -39.726
      4600.00    5.00    0.00    0.00       -39.683     -39.628     -39.716     -39.728
      4600.00    5.50    0.00    0.00       -39.682     -39.636     -39.723     -39.731
      4700.00    2.50    0.00    0.00       -39.687     -39.627     -39.728     -39.736
      4700.00    3.00    0.00    0.00       -39.695     -39.635     -39.734     -39.743
      4700.00    3.50    0.00    0.00       -39.698     -39.645     -39.737     -39.749
      4700.00    4.00    0.00    0.00       -39.704     -39.650     -39.738     -39.749
      4700.00    4.50    0.00    0.00       -39.707     -39.655     -39.740     -39.750
      4700.00    5.00    0.00    0.00       -39.711     -39.658     -39.740     -39.751
      4700.00    5.50    0.00    0.00       -39.712     -39.664     -39.744     -39.753
      4800.00    2.50    0.00    0.00       -39.712     -39.657     -39.752     -39.760
      4800.00    3.00    0.00    0.00       -39.721     -39.665     -39.759     -39.767
      4800.00    3.50    0.00    0.00       -39.723     -39.673     -39.761     -39.772
      4800.00    4.00    0.00    0.00       -39.729     -39.679     -39.762     -39.771
      4800.00    4.50    0.00    0.00       -39.733     -39.684     -39.763     -39.773
      4800.00    5.00    0.00    0.00       -39.737     -39.687     -39.764     -39.774
      4800.00    5.50    0.00    0.00       -39.741     -39.691     -39.765     -39.775
      4900.00    2.50    0.00    0.00       -39.737     -39.685     -39.775     -39.782
      4900.00    3.00    0.00    0.00       -39.746     -39.693     -39.782     -39.789
      4900.00    3.50    0.00    0.00       -39.750     -39.702     -39.784     -39.793
      4900.00    4.00    0.00    0.00       -39.755     -39.708     -39.785     -39.794
      4900.00    4.50    0.00    0.00       -39.758     -39.712     -39.786     -39.795
      4900.00    5.00    0.00    0.00       -39.762     -39.716     -39.786     -39.796
      4900.00    5.50    0.00    0.00       -39.766     -39.719     -39.787     -39.795
      5000.00    2.50    0.00    0.00       -39.753     -39.709     -39.788     -39.797
      5000.00    3.00    0.00    0.00       -39.770     -39.721     -39.804     -39.812
      5000.00    3.50    0.00    0.00       -39.774     -39.730     -39.806     -39.815
      5000.00    4.00    0.00    0.00       -39.780     -39.736     -39.808     -39.816
      5000.00    4.50    0.00    0.00       -39.783     -39.740     -39.808     -39.817
      5000.00    5.00    0.00    0.00       -39.787     -39.744     -39.809     -39.817
