Teff,Logg,G2018,G2018_BP,G2018_RP,J,H,K,W1_W10,W2_W10,W3_W10,W4_W10
2800.00,3.00,-33.597,-30.918,-34.925,-37.445,-38.004,-38.271,-38.409,-38.709,-38.930,-39.081
2800.00,3.50,-33.723,-31.171,-35.035,-37.416,-37.953,-38.260,-38.453,-38.737,-38.960,-39.097
2800.00,4.00,-33.762,-31.217,-35.070,-37.399,-37.944,-38.261,-38.467,-38.732,-38.961,-39.082
2800.00,4.50,-33.807,-31.099,-35.124,-37.406,-37.951,-38.264,-38.474,-38.715,-38.952,-39.061
2800.00,5.00,-33.802,-31.201,-35.115,-37.389,-37.974,-38.278,-38.484,-38.692,-38.935,-39.031
2800.00,5.50,-33.728,-30.779,-35.071,-37.399,-38.002,-38.274,-38.464,-38.630,-38.893,-38.978
2900.00,2.50,-33.614,-30.975,-34.940,-37.544,-38.279,-38.453,-38.455,-38.743,-32.969,-35.769
2900.00,3.00,-33.786,-31.224,-35.102,-37.562,-38.174,-38.397,-38.474,-38.762,-38.958,-39.106
2900.00,3.50,-33.933,-31.509,-35.231,-37.538,-38.092,-38.365,-38.515,-38.791,-38.991,-39.126
2900.00,4.00,-34.025,-31.690,-35.310,-37.523,-38.074,-38.366,-38.547,-38.805,-39.009,-39.131
2900.00,4.50,-34.063,-31.743,-35.345,-37.509,-38.069,-38.369,-38.561,-38.797,-39.007,-39.117
2900.00,5.00,-34.052,-31.540,-35.353,-37.513,-38.092,-38.379,-38.563,-38.769,-38.988,-39.085
2900.00,5.50,-34.033,-31.389,-35.348,-37.520,-38.116,-38.383,-38.560,-38.728,-38.962,-39.048
3000.00,2.50,-33.870,-31.443,-35.172,-37.635,-38.435,-38.606,-38.579,-38.835,-39.005,-39.152
3000.00,3.00,-34.029,-31.665,-35.322,-37.665,-38.349,-38.546,-38.577,-38.842,-39.012,-39.154
3000.00,3.50,-34.187,-31.943,-35.463,-37.662,-38.256,-38.500,-38.604,-38.864,-39.036,-39.167
3000.00,4.00,-34.290,-32.146,-35.549,-37.647,-38.215,-38.483,-38.631,-38.878,-39.055,-39.174
3000.00,4.50,-34.333,-32.235,-35.585,-37.623,-38.188,-38.472,-38.646,-38.874,-39.058,-39.165
3000.00,5.00,-34.337,-32.076,-35.608,-37.637,-38.215,-38.487,-38.652,-38.853,-39.043,-39.139
3000.00,5.50,-34.309,-31.906,-35.597,-37.640,-38.232,-38.489,-38.646,-38.810,-39.014,-39.100
3100.00,2.50,-34.142,-31.948,-35.412,-37.718,-38.568,-38.745,-38.714,-38.928,-39.080,-39.213
3100.00,3.00,-34.298,-32.177,-35.557,-37.751,-38.497,-38.684,-38.692,-38.926,-39.077,-39.209
3100.00,3.50,-34.454,-32.438,-35.695,-37.757,-38.393,-38.623,-38.701,-38.939,-39.089,-39.215
3100.00,4.00,-34.562,-32.673,-35.781,-37.736,-38.328,-38.586,-38.721,-38.953,-39.112,-39.228
3100.00,4.50,-34.644,-32.848,-35.844,-37.731,-38.314,-38.581,-38.743,-38.960,-39.128,-39.234
3100.00,5.00,-34.642,-32.837,-35.844,-37.717,-38.303,-38.572,-38.739,-38.937,-39.111,-39.207
3100.00,5.50,-34.653,-32.842,-35.856,-37.716,-38.316,-38.576,-38.744,-38.915,-39.101,-39.188
3200.00,2.50,-34.358,-32.308,-35.605,-37.798,-38.695,-38.880,-38.840,-39.007,-39.147,-39.266
