Name,WISE_ID,RA,DEC
AWI000630o,J044612.06+260207.3,71.550195,26.035385
AWI0005yn2,J044717.93+054717.4,71.82474236,5.788146013
AWI0005myt,J044822.10+301847.8,72.09211,30.31328
AWI0005myu,J044822.74+294622.5,72.09479204,29.77290009
AWI0000zkt,J044941.68+470759.1,72.423657,47.133137
AWI0005yn4,J045013.22+034100.3,72.55511449,3.683470953
AWI0005zgy,J045245.95-062129.5,73.19148126,-6.358207026
AWI0005yn5,J045252.88+084534.7,73.22039213,8.759635305
AWI0004nhj,J045411.70+342158.2,73.548905,34.366159
AWI0000zrp,J045422.05+455429.1,73.591885,45.9080675
AWI0005wcl,J045519.57+163712.9,73.83153035,16.62023134
AWI0005mz7,J045548.21+302016.1,73.95099506,30.33780983
AWI0005af1,J045747.54+674633.6,74.448225,67.776047
AWI0005af1,J045747.54+674633.6,74.44813743,67.77598974 
AWI0001qry,J045828.03+480643.7,74.617263,48.112141
AWI0005zh3,J045836.89-043333.5,74.65375035,-4.559323912
AWI0005mze,J045851.41+283123.7,74.7142057,28.5232285
AWI0004ejc,J050049.55+343752.2,75.206557,34.631189
AWI0002p05,J050142.47+413738.2,75.42697933,41.62727694 
AWI0005ynf,J050226.26+013332.7,75.60943802,1.559062351
AWI0005wcw,J050228.42+134637.7,75.6184283,13.7771588
AWI0005mzk,J050441.39+250954.3,76.1724827,25.1651074
AWI00019yc,J050533.28+455606.3,76.388497,45.935499
AWI0005wcz,J050610.47+062929.2,76.5436891,6.49146769
AWI00023os,J050640.35+472448.4,76.668149,47.4134718
AWI0005ynm,J050729.40-031840.8,76.872468,-3.311368657
AWI0005ynp,J050801.92-031731.6,77.0080414,-3.2921125
AWI0005zhk,J050853.31-062946.5,77.2221476,-6.4962694
AWI00060gu,J051032.95-183944.6,77.63732978,-18.6624047
AWI0005ynv,J051034.92-031324.0,77.6455172,-3.2233664
AWI0005mzu,J051124.05+261109.3,77.850168,26.185844
AWI0003cu4,J051130.40+362246.6,77.8766761,36.3796278
AWI0005wd7,J051130.42+103218.9,77.87677432,10.53859052
AWI0005wd8,J051143.75+122012.5,77.93232841,12.33681453
AWI0005af8,J051227.07+724436.8,78.112793,72.74364 
AWI0005yo1,J051243.27-012836.1,78.180336,-1.476665
AWI0005yo2,J051244.74-010524.9,78.18642,-1.09027
AWI0005yo4,J051328.63-043910.6,78.36929367,-4.652977431
AWI0000xds,J051607.94+395117.2,79.0330848,39.8547933
AWI0003cu9,J051620.29+352338.7,79.08458178,35.3940959
AWI0000zs0,J051634.38+402856.1,79.1432656,40.4822486
AWI00055x3,J051638.91+563024.3,79.16220132,56.50669496
AWI0005yog,J051646.72-064720.9,79.19469104,-6.789165882
AWI0005wdn,J051725.89+071147.7,79.357918,7.19663088
AWI0005wdo,J051729.17+071810.0,79.37155,7.302791
AWI0005wdq,J051740.83+090514.5,79.42015466,9.087371569
AWI0005wdu,J051804.09+070530.9,79.5170494,7.0919348
AWI0005yok,J051816.84-053729.9,79.5702028,-5.6249951
AWI0005yon,J051915.50-020453.0,79.8145842,-2.081396
AWI0005we0,J052007.24+050250.5,80.0302048,5.047388
AWI0005yoy,J052045.68-054832.3,80.1903628,-5.8089783
AWI0005yp2,J052108.71-054229.0,80.2863084,-5.7080588
AWI0005yp3,J052109.90-081705.5,80.291251,-8.284877
AWI00060uk,J052126.14-452028.0,80.35893,-45.3411
AWI00019yp,J052211.92+413349.5,80.549853,41.563905
AWI0002p0g,J052234.63+354535.2,80.6443583,35.7597389
AWI0005we8,J052254.38+045655.5,80.7266077,4.9487748
AWI0005wea,J052312.40+005447.6,80.80169137,0.913232843
AWI0005ypb,J052330.49-044149.0,80.87708,-4.69695
AWI0005ypc,J052334.17-115840.6,80.89237944,-11.97796546
AWI0005ype,J052342.05-043719.1,80.92522,-4.622
AWI0005ypf,J052359.50-012616.2,80.9979361,-1.4378608
AWI0005wem,J052454.65-002516.6,81.2277162,-0.4213033
AWI0000zs6,J052456.09+375806.0,81.233694,37.9683411
AWI0005wen,J052504.68+012050.9,81.2695258,1.3474834
AWI0005n0k,J052510.40+192027.7,81.2933623,19.3410555
AWI0002d7x,J052531.34+465100.1,81.3806178,46.8500373
AWI0005ypm,J052539.80-041102.1,81.4158359,-4.1839358
AWI0005ypo,J052556.05-021601.5,81.48354066,-2.267141548
AWI0005ypp,J052604.18-104527.9,81.5174171,-10.7577567
AWI0005wew,J052614.84+025727.3,81.56184408,2.95758739
AWI0005wex,J052617.32+055817.1,81.57220814,5.971411378
AWI0005wey,J052638.83+065206.8,81.661788,6.868547
AWI0005yps,J052642.14-041132.1,81.67557343,-4.192184457
AWI0005ypt,J052648.70-063823.0,81.7029549,-6.639737086
AWI0005ypv,J052653.64-100458.1,81.72351298,-10.08279812
AWI0003cuh,J052728.74+312358.0,81.86975293,31.39944501
AWI0005wf8,J052733.83+043850.4,81.89099946,4.647342715
AWI0005wfa,J052738.61-015801.7,81.91089336,-1.967181757
AWI0005wfc,J052744.71-014847.0,81.93632347,-1.813103459
AWI0005n0p,J052746.74+174407.4,81.94474018,17.73539976
AWI00062ya,J052814.59+090324.4,82.06087,9.056841
AWI0005wfg,J052815.31+012734  ,82.06382521,1.459458913
AWI0005yq2,J052817.16-073705.4,82.07155078,-7.618177168
AWI0005wfi,J052817.85+011006.1,82.07438214,1.168357573 
AWI0005yq4,J052822.03-062555.9,82.0918136,-6.4322182
AWI0004yla,J052833.49+350344.2,82.1395533,35.0622847
AWI0005wfn,J052859.70+032148.6,82.24878421,3.363504954
AWI0005yq6,J052923.29-043057.5,82.34685087,-4.516314313
AWI0005wft,J052924.84+034330.5,82.35351935,3.725146629
AWI0005yq8,J052928.49-074636.9,82.3687444,-7.7769408
AWI00062y2,J052929.73+151346.7,82.3738947,15.2296342 
AWI00062xz,J052952.76+120947.4,82.469901,12.163176
AWI00062xx,J052957.66+124520.7,82.490501,12.755808
AWI0005wfy,J052958.49+033343.0,82.493705,3.561938
AWI00062xw,J052959.25+121947.0,82.49688,12.32974
AWI00062xv,J053003.81+120121.7,82.515839,12.022773
AWI0006191,J053004.61-524840.7,82.51922154,-52.81131412
AWI0005wg1,J053005.05-021523.1,82.52106,-2.25644
AWI0005yqc,J053011.49-063408.9,82.54790187,-6.569162128
AWI00062xq,J053020.39+071211.6,82.585008,7.203276
AWI00062xm,J053036.15+103054.2,82.6506285,10.515075
AWI0005yqh,J053045.97-072458.2,82.691555,-7.416182
AWI0005yqi,J053047.99-073132.4,82.69999838,-7.525666244
AWI0005yql,J053057.81-102634.9,82.7408965,-10.4430291
AWI00062yi,J053125.65+121251.4,82.856878,12.214285
AWI00062xy,J053140.47+121046.8,82.918497,12.179934
AWI0005yqs,J053149.37-060019.3,82.95571705,-6.005371584
AWI0005wgh,J053200.31-045553.8,83.00130515,-4.93163599
AWI0005wgk,J053209.94-024946.7,83.0414279,-2.829658
AWI0005yqw,J053211.40-053744.0,83.0475293,-5.6288894
AWI0005yqx,J053214.83-062054.6,83.0617892,-6.3485194
AWI0005wgv,J053230.80-042136.2,83.12837,-4.36006
AWI0005wgw,J053232.65-011345.9,83.13610561,-1.229436665
AWI00062wl,J053234.72+111252.3,83.1446579,11.2145383
AWI00062wi,J053239.38+122030.4,83.16411,12.34178
AWI00062wh,J053243.05+122108.4,83.179291,12.352294
AWI00062wg,J053245.50+122702.3,83.1895981,12.4506194
AWI00062wc,J053258.98+114619.1,83.245646,11.7721
